gene1,gene2,score
GAD1,ABAT,0.975
CNDP1,ALDH7A1,0.907
CNDP1,ALDH1B1,0.912
CNDP1,GAD2,0.924
CNDP1,ABAT,0.947
GAD2,ALDH1B1,0.923
GAD2,ALDH7A1,0.926
GAD2,ABAT,0.976
ALDH1B1,ALDH7A1,0.415
ALDH1B1,ALDH6A1,0.933
ALDH1B1,ABAT,0.949
ABAT,ALDH7A1,0.954
ABAT,ALDH6A1,0.963
ALDH7A1,ALDH6A1,0.934
APOA1,NR1H3,0.555
APOA1,RXRA,0.567
APOA1,SREBF1,0.693
APOA1,XPR1,0.694
APOA1,SREBF2,0.73
APOA1,APOE,0.999
APOA1,SCARB1,0.999
APOA1,ABCA1,0.999
APOA1,LCAT,0.999
APOE,SREBF2,0.621
APOE,RXRA,0.636
APOE,SREBF1,0.721
APOE,NR1H2,0.793
APOE,XPR1,0.794
APOE,NR1H3,0.85
APOE,LCAT,0.956
APOE,SCARB1,0.968
APOE,ABCA1,0.98
SCARB1,NR1H3,0.647
SCARB1,XPR1,0.656
SCARB1,SREBF2,0.661
SCARB1,SREBF1,0.773
SCARB1,LCAT,0.794
SCARB1,ABCA1,0.934
LCAT,XPR1,0.4
LCAT,SREBF1,0.401
LCAT,SREBF2,0.424
LCAT,ABCA1,0.912
SREBF1,RXRA,0.759
SREBF1,XPR1,0.856
SREBF1,NR1H2,0.884
SREBF1,ABCA1,0.905
SREBF1,SREBF2,0.933
SREBF1,NR1H3,0.964
SREBF2,NR1H2,0.821
SREBF2,NR1H3,0.887
SREBF2,XPR1,0.922
SREBF2,ABCA1,0.94
XPR1,RXRA,0.84
XPR1,NR1H3,0.885
XPR1,NR1H2,0.932
XPR1,ABCA1,0.94
ABCA1,RXRA,0.916
ABCA1,NR1H3,0.967
ABCA1,NR1H2,0.991
RXRA,NR1H2,0.998
RXRA,NR1H3,0.999
NR1H3,NR1H2,0.915
TGM1,LIPN,0.624
TGM1,CERS3,0.672
TGM1,PNPLA1,0.772
TGM1,ALOXE3,0.899
TGM1,ALOX12B,0.907
TGM1,CYP4F22,0.919
TGM1,LOR,0.933
TGM1,ABCA12,0.952
TGM1,NIPAL4,0.959
CYP4F22,CERS3,0.806
CYP4F22,ALOX12B,0.843
CYP4F22,ALOXE3,0.868
CYP4F22,LIPN,0.872
CYP4F22,PNPLA1,0.887
CYP4F22,ABCA12,0.977
CYP4F22,NIPAL4,0.986
ABCA12,LOR,0.663
ABCA12,CERS3,0.722
ABCA12,PNPLA1,0.788
ABCA12,ALOX12B,0.803
ABCA12,ALOXE3,0.806
ABCA12,CST6,0.813
ABCA12,LIPN,0.83
ABCA12,NIPAL4,0.924
CERS3,LIPN,0.657
CERS3,ALOX12B,0.705
CERS3,ALOXE3,0.735
CERS3,NIPAL4,0.749
CERS3,PNPLA1,0.81
CST6,LOR,0.79
NIPAL4,LIPN,0.762
NIPAL4,PNPLA1,0.861
NIPAL4,ALOX12B,0.918
NIPAL4,ALOXE3,0.924
ALOXE3,LOR,0.451
ALOXE3,ALOX12B,0.496
ALOXE3,LIPN,0.683
ALOXE3,PNPLA1,0.801
LOR,ALOX12B,0.561
PNPLA1,ALOX12B,0.793
PNPLA1,LIPN,0.795
LIPN,ALOX12B,0.662
ATP12A,ATP1A1,0.725
ATP12A,ATP1A3,0.725
ATP12A,ABCB6,0.731
ATP12A,ABCD4,0.735
ATP12A,ABCG8,0.744
ATP12A,ABCG5,0.752
ATP12A,ABCA2,0.754
ATP12A,ABCB8,0.764
ATP12A,ATP2A2,0.786
ATP12A,SLC9A1,0.854
SLC9A1,ABCD4,0.725
SLC9A1,ABCB6,0.728
SLC9A1,ABCG5,0.732
SLC9A1,ABCG8,0.732
SLC9A1,ABCB8,0.743
SLC9A1,ABCA2,0.752
SLC9A1,ATP2A2,0.798
SLC9A1,ATP1A3,0.819
SLC9A1,ATP1A1,0.821
ABCB6,ATP1A3,0.732
ABCB6,ATP1A1,0.734
ABCB6,ATP2A2,0.736
ABCB6,ABCB8,0.813
ABCB6,ABCG8,0.926
ABCB6,ABCG5,0.928
ABCB6,ABCA2,0.929
ABCB6,ABCD4,0.943
ABCG8,ATP1A1,0.744
ABCG8,ATP1A3,0.744
ABCG8,ATP2A2,0.747
ABCG8,ABCB8,0.79
ABCG8,ABCA2,0.922
ABCG8,ABCD4,0.94
ABCG8,ABCG5,0.999
ABCB8,ATP2A2,0.752
ABCB8,ATP1A3,0.756
ABCB8,ATP1A1,0.756
ABCB8,ABCG5,0.8
ABCB8,ABCD4,0.802
ABCB8,ABCA2,0.805
ABCA2,ATP2A2,0.751
ABCA2,ATP1A1,0.754
ABCA2,ATP1A3,0.771
ABCA2,ABCG5,0.923
ABCA2,ABCD4,0.952
ABCD4,ATP1A3,0.726
ABCD4,ATP1A1,0.726
ABCD4,ATP2A2,0.735
ABCD4,ABCG5,0.941
ABCG5,ATP1A1,0.745
ABCG5,ATP1A3,0.745
ABCG5,ATP2A2,0.747
ATP2A2,ATP1A1,0.82
ATP2A2,ATP1A3,0.877
ATP1A3,ATP1A1,0.947
LPCAT1,SFTPA1,0.425
LPCAT1,SFTPC,0.494
LPCAT1,SFTPB,0.618
LPCAT1,ABCA3,0.619
AQP5,SFTPD,0.524
AQP5,NKX2-1,0.526
AQP5,ABCA3,0.58
AQP5,SFTPA1,0.607
AQP5,SFTPB,0.695
AQP5,SFTPC,0.823
ABCA3,SFTPD,0.59
ABCA3,ABCC4,0.598
ABCA3,NKX2-1,0.625
ABCA3,SFTPA2,0.662
ABCA3,SFTPA1,0.711
ABCA3,CSF2RA,0.811
ABCA3,SFTPC,0.899
ABCA3,SFTPB,0.96
SFTPC,CSF2RA,0.688
SFTPC,NKX2-1,0.834
SFTPC,SFTPD,0.99
SFTPC,SFTPA2,0.993
SFTPC,SFTPB,0.999
SFTPC,SFTPA1,0.999
NKX2-1,SFTPD,0.473
NKX2-1,SFTPA2,0.621
NKX2-1,SFTPA1,0.812
NKX2-1,SFTPB,0.951
SFTPD,CSF2RA,0.582
SFTPD,SFTPA2,0.831
SFTPD,SFTPA1,0.851
SFTPD,SFTPB,0.985
SFTPA2,CSF2RA,0.582
SFTPA2,SFTPA1,0.956
SFTPA2,SFTPB,0.979
CSF2RA,SFTPA1,0.607
CSF2RA,SFTPB,0.827
SFTPA1,SFTPB,0.998
PRPH2,CNGB3,0.6
PRPH2,RDH12,0.767
PRPH2,CERKL,0.768
PRPH2,EYS,0.788
PRPH2,RPE65,0.796
PRPH2,RPGR,0.815
PRPH2,CNGB1,0.834
PRPH2,ELOVL4,0.838
PRPH2,ABCA4,0.891
PRPH2,GUCY2D,0.921
CNGB1,CNGB3,0.68
CNGB1,RPGR,0.771
CNGB1,RDH12,0.773
CNGB1,GUCY2D,0.776
CNGB1,RPE65,0.786
CNGB1,EYS,0.81
CNGB1,CERKL,0.825
CNGB1,ABCA4,0.853
GUCY2D,EYS,0.535
GUCY2D,CERKL,0.601
GUCY2D,RPGR,0.72
GUCY2D,CNGB3,0.735
GUCY2D,RDH12,0.781
GUCY2D,ABCA4,0.828
GUCY2D,RPE65,0.883
RPE65,ELOVL4,0.422
RPE65,CNGB3,0.703
RPE65,CERKL,0.774
RPE65,EYS,0.774
RPE65,RPGR,0.843
RPE65,ABCA4,0.868
RPE65,RDH12,0.932
CNGB3,EYS,0.505
CNGB3,RDH12,0.518
CNGB3,CERKL,0.519
CNGB3,RPGR,0.738
CNGB3,ABCA4,0.844
CNGB3,ELOVL4,0.855
CERKL,ELOVL4,0.42
CERKL,RPGR,0.787
CERKL,ABCA4,0.822
CERKL,RDH12,0.828
CERKL,EYS,0.857
ELOVL4,RPGR,0.418
ELOVL4,ABCA4,0.894
ABCA4,RDH12,0.831
ABCA4,EYS,0.834
ABCA4,RPGR,0.903
EYS,RDH12,0.813
EYS,RPGR,0.837
RDH12,RPGR,0.763
ABCA12,ABCA5,0.424
ABCA12,ABCB1,0.438
ABCA12,ABCD4,0.553
ELP6,ABCA5,0.81
TRAPPC1,ABCA5,0.415
ABCF1,ABCA5,0.479
ABCF1,ABCD4,0.502
ABCD4,ABCA5,0.611
ABCD4,ABCF3,0.665
ABCA5,ABCB1,0.419
ABCA5,ABCF3,0.555
ABCA5,MAP2K6,0.6
ABCF3,ABCB1,0.408
ABCF2,ABCB1,0.812
CYP3A5,SLCO1B3,0.631
CYP3A5,SLCO1B1,0.799
CYP3A5,NR1I2,0.82
CYP3A5,ABCB1,0.92
CYP3A5,PPIG,0.926
CYP3A5,CYP3A4,0.95
CYP3A5,CYP2C19,0.959
SLCO1B1,SLCO1B3,0.403
SLCO1B1,PPIG,0.779
SLCO1B1,CYP2C19,0.817
SLCO1B1,NR1I2,0.852
SLCO1B1,ABCB1,0.883
SLCO1B1,CYP3A4,0.932
PPIG,SLCO1B3,0.683
PPIG,NR1I2,0.789
PPIG,ABCB1,0.809
PPIG,CYP2C19,0.958
PPIG,CYP3A4,0.973
SLCO1B3,CYP2C19,0.623
SLCO1B3,CYP3A4,0.749
SLCO1B3,NR1I2,0.811
SLCO1B3,ABCB1,0.844
ABCF2-2,ABCB1,0.812
NR1I2,CYP2C19,0.749
NR1I2,ABCB1,0.842
NR1I2,CYP3A4,0.962
CYP2C19,ABCB1,0.858
CYP2C19,CYP3A4,0.968
ABCB1,CYP3A4,0.886
ABCB1,IGKV2D-29,0.907
SLC10A1,ATP8B1,0.594
SLC10A1,NR1I2,0.663
SLC10A1,CYP8B1,0.825
SLC10A1,NR0B2,0.866
SLC10A1,FABP6,0.867
SLC10A1,SLCO1B3,0.869
SLC10A1,NR1H4,0.878
SLC10A1,SLCO1B1,0.886
SLC10A1,CYP7A1,0.909
SLC10A1,ABCB11,0.918
NR0B2,SLCO1B3,0.407
NR0B2,SLCO1B1,0.479
NR0B2,ATP8B1,0.799
NR0B2,FABP6,0.853
NR0B2,ABCB11,0.948
NR0B2,NR1I2,0.952
NR0B2,CYP8B1,0.958
NR0B2,CYP7A1,0.974
NR0B2,NR1H4,0.986
SLCO1B1,CYP8B1,0.533
SLCO1B1,NR1H4,0.637
SLCO1B1,CYP7A1,0.675
SLCO1B1,ABCB11,0.862
SLCO1B3,CYP8B1,0.413
SLCO1B3,CYP7A1,0.531
SLCO1B3,NR1H4,0.543
SLCO1B3,ABCB11,0.841
CYP7A1,ATP8B1,0.482
CYP7A1,FABP6,0.835
CYP7A1,NR1I2,0.849
CYP7A1,ABCB11,0.934
CYP7A1,NR1H4,0.986
CYP8B1,FABP6,0.65
CYP8B1,NR1I2,0.686
CYP8B1,ABCB11,0.826
CYP8B1,NR1H4,0.861
NR1I2,ATP8B1,0.541
NR1I2,NR1H4,0.642
NR1I2,FABP6,0.7
NR1I2,ABCB11,0.839
FABP6,ATP8B1,0.585
FABP6,ABCB11,0.886
FABP6,NR1H4,0.935
NR1H4,ATP8B1,0.85
NR1H4,ABCB11,0.964
ATP8B1,ABCB11,0.991
SLC10A1,PPARA,0.658
SLC10A1,ABCB4,0.789
SLC10A1,ABCC2,0.792
SLC10A1,IGHV3-16,0.9
SLC10A2,NR1I2,0.589
SLC10A2,ATP8B1,0.607
SLC10A2,ABCC2,0.637
SLC10A2,PPARA,0.754
SLC10A2,ABCB4,0.858
SLC10A2,CYP7A1,0.876
SLC10A2,NR1H4,0.914
ABCB4,NR1I2,0.71
ABCB4,ABCC2,0.715
ABCB4,PPARA,0.719
ABCB4,NR1H4,0.753
ABCB4,CYP7A1,0.761
ABCB4,GGT1-2,0.765
ABCB4,IGHV3-16,0.9
ABCB4,ATP8B1,0.928
CYP7A1,ABCC2,0.637
CYP7A1,PPARA,0.84
NR1I2,PPARA,0.56
NR1I2,ABCC2,0.73
GGT1-2,ATP8B1,0.459
NR1H4,ABCC2,0.72
ABCC2,ATP8B1,0.759
ABCB6,ATP1A2,0.732
ABCB6,FECH,0.761
ABCG8,ATP1A2,0.744
ABCB8,FECH,0.456
ABCB8,ATP1A2,0.746
ABCA2,ATP1A2,0.747
ABCD4,ATP1A2,0.726
ATP1A2,ABCG5,0.747
ATP1A2,ATP2A2,0.873
ATP1A2,ATP1A1,0.936
ATP1A2,ATP1A3,0.978
ABCB7,SLC25A38,0.785
ABCB7,ABCB10,0.791
ABCB7,TMEM14C,0.811
ABCB7,GLRX5,0.825
ABCB7,NUBP2,0.87
ABCB7,ACO1,0.871
ABCB7,SLC25A37,0.886
ABCB7,FECH,0.906
ABCB7,ALAS2,0.907
ABCB7,NUBP1,0.938
NUBP2,ACO1,0.794
NUBP2,NUBP1,0.922
NUBP1,FECH,0.459
NUBP1,ACO1,0.501
NUBP1,GLRX5,0.524
ACO1,SLC25A38,0.632
ACO1,SLC25A37,0.642
ACO1,FECH,0.823
ACO1,GLRX5,0.834
ACO1,ALAS2,0.843
GLRX5,SLC25A37,0.676
GLRX5,FECH,0.81
GLRX5,ALAS2,0.897
GLRX5,SLC25A38,0.943
ABCB10,SLC25A38,0.515
ABCB10,ALAS2,0.715
ABCB10,TMEM14C,0.729
ABCB10,FECH,0.994
ABCB10,SLC25A37,0.999
SLC25A37,TMEM14C,0.553
SLC25A37,ALAS2,0.805
SLC25A37,FECH,0.987
TMEM14C,ALAS2,0.475
TMEM14C,SLC25A38,0.501
TMEM14C,FECH,0.707
ALAS2,SLC25A38,0.878
ALAS2,FECH,0.984
SLC25A38,FECH,0.684
MRPS7,CYP2B6,0.419
MRPS7,ABCG2,0.813
MRPS7,ABCC1,0.925
LTC4S,ABCC1,0.682
LTC4S,LTB4R2,0.872
CYP2B6,ABCC1,0.611
CYP2B6,ABCG2,0.616
SPNS2,ABCG2,0.456
SPNS2,ABCC1,0.609
ABCG1,ABCC1,0.614
MVP,ABCG2,0.506
MVP,ABCC1,0.702
ABCC1,MYC,0.616
ABCC1,CTNNB1,0.643
ABCC1,LTB4R2,0.701
ABCC1,ABCG2,0.971
MYC,ABCG2,0.571
MYC,CTNNB1,0.985
CTNNB1,ABCG2,0.593
ABCF2,ABCG8,0.462
ABCF2,ABCC12,0.537
ABCF2,ABCG4,0.558
ABCF2,ABCC11,0.566
ABCF2,MRPS7,0.687
ABCF2,ABCE1,0.921
MRPS7,ABCC11,0.519
MRPS7,ABCC12,0.618
MRPS7,ABCF2-2,0.62
MRPS7,ABCE1,0.689
MRPS7,ABCB1,0.775
ABCA10,ABCC11,0.487
ABCG8,ABCE1,0.431
ABCG8,ABCF2-2,0.447
ABCG8,ABCC11,0.492
ABCF2-2,ABCC12,0.54
ABCF2-2,ABCG4,0.559
ABCF2-2,ABCC11,0.567
ABCF2-2,ABCE1,0.909
ABCE1,ABCB1,0.465
ABCE1,ABCC11,0.477
ABCE1,ABCC12,0.501
ABCC12,ABCB1,0.452
ABCC12,ABCC11,0.663
SRARP,ABCC11,0.5
ABCC11,ABCB1,0.476
ABCC11,ABCG4,0.528
CRY1,ABCC2,0.807
SLC10A1,UGT1A6,0.525
SLC10A1,SLC22A8,0.587
SLC10A1,ABCG2,0.612
SLCO1B1,UGT2B7,0.733
SLCO1B1,UGT1A6,0.803
SLCO1B1,SLC22A8,0.83
SLCO1B1,ABCC2,0.842
SLCO1B1,ABCG2,0.886
SLCO1B3,UGT2B7,0.632
SLCO1B3,UGT1A6,0.685
SLCO1B3,ABCG2,0.79
SLCO1B3,ABCC2,0.817
SLCO1B3,SLC22A8,0.848
UGT1A6,SLC22A8,0.53
UGT1A6,ABCG2,0.681
UGT1A6,ABCC2,0.844
UGT2B7,SLC22A8,0.486
UGT2B7,ABCG2,0.595
UGT2B7,ABCC2,0.798
SLC22A8,ABCG2,0.808
SLC22A8,ABCC2,0.913
PDZK1,RDX,0.636
PDZK1,ABCG2,0.718
PDZK1,ABCC2,0.798
RDX,ABCG2,0.466
RDX,ABCC2,0.811
ABCC2,ABCG2,0.979
XYLT2,ABCC6,0.701
XYLT2,XYLT1,0.953
ABCC6,ELN,0.69
ABCC6,NOMO2,0.702
ABCC6,AHSG,0.724
ABCC6,ENPP1,0.736
ABCC6,MRPS7,0.804
ABCC6,VKORC1,0.824
ABCC6,XYLT1,0.851
ABCC6,MGP,0.898
ABCC6,GGCX,0.93
MGP,ENPP1,0.611
MGP,ELN,0.81
MGP,VKORC1,0.848
MGP,GGCX,0.951
MGP,AHSG,0.977
GGCX,ENPP1,0.549
GGCX,VKORC1,0.998
MRPS7,AHSG,0.42
XYLT1,NOMO2,0.801
AHSG,ENPP1,0.664
GCK,PRKACB,0.638
GCK,PRKACA,0.639
GCK,PRKACG,0.641
GCK,KCNJ11,0.899
GCK,INS,0.945
GCK,ABCC8,0.949
TRPM4,ABCC9,0.516
TRPM4,KCNJ11,0.523
TRPM4,KCNJ8,0.618
TRPM4,ABCC8,0.992
ABCC9,ABCC8,0.898
ABCC9,KCNJ8,0.999
ABCC9,KCNJ11,0.999
PRKACA,KCNJ11,0.599
PRKACA,INS,0.738
PRKACA,ABCC8,0.935
PRKACA,PRKACG,0.965
PRKACA,RAPGEF4,0.983
PRKACA,PRKACB,0.987
KCNJ11,PRKACB,0.598
KCNJ11,PRKACG,0.599
KCNJ11,RAPGEF4,0.825
KCNJ11,INS,0.874
KCNJ11,KCNJ8,0.991
KCNJ11,ABCC8,0.999
PRKACB,INS,0.732
PRKACB,ABCC8,0.937
PRKACB,PRKACG,0.968
PRKACB,RAPGEF4,0.982
PRKACG,INS,0.746
PRKACG,ABCC8,0.935
PRKACG,RAPGEF4,0.983
RAPGEF4,KCNJ8,0.507
RAPGEF4,INS,0.571
RAPGEF4,ABCC8,0.99
INS,ABCC8,0.909
ABCC8,KCNJ8,0.999
ABCC9,DSG2,0.713
ABCC9,EYA4,0.715
ABCC9,TMPO,0.721
ABCC9,CSRP3,0.724
ABCC9,MYBPC3,0.737
ABCC9,SCN5A,0.761
ABCC9,RBM20,0.806
DSG2,EYA4,0.602
DSG2,CSRP3,0.668
DSG2,RBM20,0.757
DSG2,MYBPC3,0.762
DSG2,SCN5A,0.768
DSG2,TMPO,0.775
TMPO,SCN5A,0.559
TMPO,CSRP3,0.652
TMPO,MYBPC3,0.653
TMPO,EYA4,0.69
TMPO,RBM20,0.746
SCN5A,EYA4,0.55
SCN5A,KCNJ11,0.594
SCN5A,CSRP3,0.653
SCN5A,KCNJ8,0.679
SCN5A,RBM20,0.788
SCN5A,MYBPC3,0.807
RBM20,EYA4,0.741
RBM20,CSRP3,0.792
RBM20,MYBPC3,0.843
CSRP3,EYA4,0.612
CSRP3,MYBPC3,0.94
EYA4,MYBPC3,0.604
ABCD1,PEX11B,0.812
ABCD1,BCAP31,0.837
ABCD1,PEX13,0.841
ABCD1,SPAST,0.889
ABCD1,ACSBG1,0.895
ABCD1,PEX3,0.907
ABCD1,SLC27A2,0.93
ABCD1,PEX19,0.951
ABCD1,ABCD2,0.954
ABCD1,ABCD3,0.98
ACSBG1,BCAP31,0.665
ACSBG1,ABCD3,0.817
ACSBG1,ABCD2,0.867
ACSBG1,SLC27A2,0.881
SLC27A2,PEX13,0.553
SLC27A2,BCAP31,0.562
SLC27A2,ABCD3,0.8
SLC27A2,ABCD2,0.836
PEX13,ABCD2,0.754
PEX13,ABCD3,0.876
