gene
ASPNAT
ASPRV1
ASPSCR1
ASS1
ASTL
ASXL1
ASXL2
ASXL3
ATAD1
ATAD3A
ATCAY
ATF6
ATG4D
ATG5
ATG7
ATIC
ATL1
ATL3
ATM
ATN1
ATOH1
ATOH7
ATP11A
ATP11C
ATP13A2
ATP13A3
ATP1A1
ATP1A2
ATP1A3
ATP2A1
ATP2A2
ATP2B1
ATP2B2
ATP2B3
ATP2C1
ATP5F1A
ATP5F1B
ATP5F1D
ATP5F1E
ATP5MC3
ATP5MK
ATP5PO
ATP6AP1
ATP6AP2
ATP6V0A1
ATP6V0A2
ATP6V0A4
ATP6V0C
ATP6V1A
ATP6V1B1
ATP6V1B2
ATP6V1E1
ATP7A
ATP7B
ATP8A2
ATP8B1
ATP9A
ATPAF2
ATR
ATRX
ATXN1
ATXN10
ATXN2
ATXN3
ATXN7
ATXN7L3
ATXN8
ATXN8OS
AUH
AURKC
AUTS2
AVIL
AVP
AVPR2
AXIN1
AXIN2
B2M
B3GALNT1
B3GALNT2
B3GALT6
B3GAT3
B3GLCT
B4GALNT1
B4GALT1
B4GALT7
B4GAT1
B9D1
B9D2
BAAT
BACH2
BAG3
BAG5
BAIAP2
BANF1
BAP1
BAX
BBIP1
BBS1
BBS10
BBS12
BBS2
BBS4
BBS5
BBS7
BBS9
BCAM
BCAP31
BCAS3
BCAT2
BCHE
BCKDHA
BCKDHB
BCKDK
BCL10
BCL11A
BCL11B
BCO1
BCOR
BCORL1
BCS1L
BDP1
BEAN1
BEST1
BET1
BFSP1
BFSP2
BGN
BHLHA9
BHLHE41
BICD2
BICRA
BIN1
BLK
BLM
BLNK
BLOC1S3
BLOC1S5
BLOC1S6
BLTP1
BLVRA
BMP1
BMP15
BMP2
BMP4
BMPER
BMPR1A
BMPR1B
BMPR2
BMS1
BNC1
BNC2
BNIP1
BOLA3
BORCS8
BPGM
BPNT2
BPTF
BRAF
BRAT1
BRCA1
BRCA2
BRD4
BRDT
BRF1
BRIP1
BRPF1
BRWD1
BRWD3
BSCL2
BSG
BSND
BTD
BTG4
BTK
BUB1
BUB1B
BUD13
C10orf71
C11orf65
C12orf43
C12orf57
C14orf39
C18orf32
C19orf12
C1GALT1C1
C1QA
C1QB
C1QBP
C1QC
C1QTNF5
C1R
C1S
C2
C2CD3
C2orf69
C3
C3orf52
C4A
C4B
C5
C6
C7
C8A
C8B
C9
C9orf72
CA12
CA2
CA5A
CA8
CABP2
CABP4
CACNA1A
CACNA1B
CACNA1C
CACNA1D
CACNA1E
CACNA1F
CACNA1G
CACNA1H
CACNA1I
CACNA1S
CACNA2D1
CACNA2D2
CACNA2D4
CACNB2
CACNB4
CACNG2
CAD
CADM3
CALCRL
CALM1
CALM2
CALM3
CALR
CAMK2A
CAMK2B
CAMK2G
CAMLG
CAMSAP1
CAMTA1
CANT1
CAP2
CAPN1
CAPN15
CAPN3
CAPN5
CAPNS1
CAPRIN1
CARD10
CARD11
CARD14
CARD8
CARD9
CARMIL2
CARS1
CARS2
CASK
CASP10
CASP14
CASP2
CASP8
CASQ1
CASQ2
CASR
CAST
CAT
CATIP
CATSPER1
CATSPERT
CAV1
CAV3
CAVIN1
CBFB
CBL
CBLB
CBLIF
CBS
CBX2
CC2D1A
CC2D2A
CCBE1
CCDC134
CCDC146
CCDC174
CCDC22
CCDC32
CCDC34
CCDC39
CCDC40
CCDC47
CCDC50
CCDC62
CCDC78
CCDC8
CCDC88A
CCDC88C
CCIN
CCM2
CCN2
CCN6
CCND2
CCNF
CCNK
CCNO
CCNQ
CCR2
CCT3
CCT5
CD151
CD164
CD19
CD207
CD247
CD27
CD274
CD28
CD2AP
CD320
CD36
CD3D
CD3E
CD3G
CD4
CD40
CD40LG
CD55
CD59
CD70
CD79A
CD79B
CD81
CD8A
CD96
CDAN1
CDC14A
CDC20
CDC40
CDC42
CDC42BPB
CDC45
CDC6
CDC73
CDCA7
CDH1
CDH11
CDH15
CDH2
CDH23
CDH3
CDHR1
CDIN1
CDK10
CDK13
CDK19
CDK4
CDK5
CDK5RAP2
CDK6
CDK8
CDKL5
CDKN1B
CDKN1C
CDON
CDSN
CDT1
CEACAM16
CEBPA
CEBPE
CEL
CELA2A
CELF2
CELSR1
CENATAC
CENPE
CENPF
CENPT
CEP104
CEP112
CEP120
CEP135
CEP152
CEP164
CEP19
CEP250
CEP290
CEP295
CEP41
CEP55
CEP57
CEP63
CEP78
CEP83
CEP85L
CERKL
CERS1
CERS3
CERT1
CETP
CFAP221
CFAP251
CFAP298
CFAP300
CFAP410
CFAP418
CFAP43
CFAP44
CFAP45
CFAP47
CFAP52
CFAP53
CFAP54
CFAP57
CFAP58
CFAP61
CFAP65
CFAP69
CFAP70
CFAP74
CFAP91
CFB
CFC1
CFD
CFH
CFHR5
CFI
CFL2
CFP
CFTR
CHAMP1
CHASERR
CHAT
CHCHD10
CHCHD2
CHD1
CHD2
CHD3
CHD4
CHD5
CHD7
CHD8
CHEK1
CHEK2
CHIT1
CHKA
CHKB
CHM
CHMP1A
CHMP2B
CHMP4B
CHN1
CHP1
CHRDL1
CHRM3
CHRNA1
CHRNA2
CHRNA3
CHRNA4
CHRNB1
CHRNB2
CHRND
CHRNE
CHRNG
CHST11
CHST14
CHST3
CHST6
CHSY1
CHUK
CIAO1
CIB2
CIBAR1
CIC
CIDEC
CIITA
CILK1
CIROP
CIROZ
CISD2
CIT
CITED2
CKAP2L
CLCC1
CLCF1
CLCN1
CLCN2
CLCN3
CLCN4
CLCN5
CLCN6
CLCN7
CLCNKA
CLCNKB
CLDN1
CLDN10
CLDN11
CLDN14
CLDN16
CLDN19
CLDN2
CLDN9
CLEC3B
CLEC7A
CLIC5
CLMP
CLN3
CLN5
CLN6
CLN8
CLP1
CLPB
CLPP
CLPX
CLRN1
CLRN2
CLTC
CLXN
CMPK2
CNBP
CNGA1
CNGA3
CNGB1
CNGB3
CNKSR2
CNNM2
CNNM4
CNOT1
CNOT2
CNOT3
CNP
CNPY3
CNTN1
CNTN2
CNTNAP1
CNTNAP2
COA3
COA5
COA6
COA7
COA8
COASY
COCH
COG1
COG2
COG3
COG4
COG5
COG6
COG7
COG8
COL10A1
COL11A1
COL11A2
COL12A1
COL13A1
COL17A1
COL18A1
COL1A1
COL1A2
COL25A1
COL27A1
COL2A1
COL3A1
COL4A1
COL4A2
COL4A3
COL4A4
COL4A5
COL4A6
COL5A1
COL5A2
COL6A1
COL6A2
COL6A3
COL7A1
COL8A2
COL9A1
COL9A2
COL9A3
COLEC10
COLEC11
COLGALT1
COLQ
COMP
COPB1
COPB2
COPG1
COPZ1
COQ2
COQ4
COQ5
COQ6
COQ7
COQ8A
COQ8B
COQ9
CORIN
CORO1A
COX10
COX11
COX14
COX15
COX16
COX18
COX20
COX4I1
COX4I2
COX5A
COX6A1
COX6A2
COX6B1
COX7B
COX8A
COXFA4
CP
CPA6
CPAMD8
CPAP
CPE
CPLANE1
CPLX1
CPN1
CPOX
CPS1
CPSF1
CPSF3
CPT1A
CPT1C
CPT2
CR2
CRADD
CRAT
CRB1
CRB2
CRBN
CREB1
CREB3L1
CREB3L3
CREBBP
CRELD1
CRIPT
CRLF1
CRLS1
CRNKL1
CRPPA
CRTAP
CRX
CRYAA
CRYAB
CRYBA1
CRYBA2
CRYBA4
CRYBB1
CRYBB2
CRYBB3
CRYGB
CRYGC
CRYGD
CRYGS
CRYM
CSF1R
CSF2RA
CSF2RB
CSF3R
CSGALNACT1
CSNK1D
CSNK2A1
CSNK2B
CSPP1
CSRP3
CST3
CST6
CSTA
CSTB
CSTF2
CT55
CTBP1
CTC1
CTCF
CTDP1
CTH
CTHRC1
CTLA4
CTNNA1
CTNNA2
CTNNA3
CTNNB1
CTNNBL1
CTNND1
CTNS
CTPS1
CTSA
CTSC
CTSD
CTSF
CTSK
CTU2
CUBN
CUL3
CUL4B
CUL7
CUX1
CUX2
CWC27
CWF19L1
CXCR2
CXCR4
CYB561
CYB5A
CYB5R3
CYBA
CYBB
CYBC1
CYC1
CYCS
CYFIP2
CYLD
CYP11A1
CYP11B1
CYP11B2
CYP17A1
CYP19A1
CYP1B1
CYP21A2
CYP24A1
CYP26B1
CYP26C1
CYP27A1
CYP27B1
CYP2A6
CYP2B6
CYP2C19
CYP2C9
CYP2R1
CYP2U1
CYP3A4
CYP4F22
CYP4V2
CYP7B1
D2HGDH
DAAM2
DAB1
DACT1
DAG1
DAGLA
DALRD3
DAND5
DAP3
DARS1
DARS2
DAW1
DBH
DBR1
DBT
DCAF17
DCAF8
DCC
DCDC2
DCHS1
DCLRE1B
DCLRE1C
DCN
DCPS
DCT
DCTN1
DCX
DCXR
DDB1
DDB2
DDC
DDHD1
DDHD2
DDOST
DDR2
DDRGK1
DDX11
DDX3X
DDX59
DDX6
DEAF1
DEF6
DEGS1
DENND5A
DEPDC5
DES
DGAT1
DGKE
DGUOK
DHCR24
DHCR7
DHDDS
DHFR
DHH
DHODH
DHPS
DHRS3
DHRSX
DHTKD1
DHX16
DHX30
DHX37
DHX38
DHX9
DIABLO
DIAPH1
DIAPH2
DIAPH3
DICER1
DIO1
DIP2B
DIS3L2
DISP1
DKC1
DLAT
DLC1
DLD
DLG3
DLG4
DLG5
DLL1
DLL3
DLL4
DLST
DLX3
DLX4
DLX5
DMD
DMGDH
DMP1
DMPK
DMRT2
DMXL2
DNA2
DNAAF1
DNAAF11
DNAAF19
DNAAF2
DNAAF3
DNAAF4
DNAAF5
DNAAF6
DNAH1
DNAH10
DNAH11
DNAH12
DNAH17
DNAH2
DNAH5
DNAH7
DNAH8
DNAH9
DNAI1
DNAI2
DNAJB11
DNAJB13
DNAJB2
DNAJB4
DNAJB6
DNAJC12
DNAJC19
DNAJC21
DNAJC3
DNAJC30
DNAJC5
DNAJC6
DNAL1
DNAL4
DNALI1
DNASE1L3
DNASE2
DNHD1
DNM1
DNM1L
DNM2
DNMBP
DNMT1
DNMT3A
DNMT3B
DOCK11
DOCK2
DOCK3
DOCK6
DOCK7
DOCK8
DOHH
DOK7
DOLK
DONSON
DOT1L
DPAGT1
DPF2
DPH1
DPH2
DPH5
DPM1
DPM2
DPM3
DPP6
DPP9
DPY19L2
DPYD
DPYS
DPYSL5
DRAM2
DRC1
DRC2
DRC4
DRG1
DSC2
DSC3
DSE
DSG1
DSG2
DSG3
DSG4
DSP
DSPP
DST
DSTYK
DTNA
DTNBP1
DTYMK
DUOX2
DUOXA2
DUSP6
DUT
DVL1
DVL3
DYM
DYNC1H1
DYNC1I2
DYNC2H1
DYNC2I1
DYNC2I2
DYNC2LI1
DYNLT2B
DYRK1A
DYRK1B
DYSF
DZIP1
DZIP1L
EARS2
EBF3
EBP
ECE1
ECEL1
ECHS1
ECM1
EDA
EDAR
EDARADD
EDC3
EDEM3
EDN1
EDN3
EDNRA
EDNRB
EED
EEF1A2
EEF1D
EEF2
EEFSEC
EFEMP1
EFEMP2
EFL1
EFNB1
EFTUD2
EGF
EGFR
EGLN1
EGR2
EHHADH
EHMT1
EIF2AK1
EIF2AK2
EIF2AK3
EIF2AK4
EIF2B1
EIF2B2
EIF2B3
EIF2B4
EIF2B5
EIF2S3
EIF3F
EIF4A2
EIF4A3
EIF5A
ELAC2
ELANE
ELF4
ELFN1
ELMO2
ELMOD3
ELN
ELOVL1
ELOVL4
ELOVL5
ELP1
ELP2
ELP4
EMC1
EMC10
EMD
EMG1
EMILIN1
EML1
EMP2
EMX2
EN1
ENAM
ENG
ENO3
ENPP1
ENTPD1
EOGT
EP300
EPAS1
EPB41
EPB41L1
EPB42
EPCAM
EPG5
EPHA10
EPHA2
EPHB2
EPHB4
EPM2A
EPO
EPOR
EPRS1
EPS8
EPS8L2
EPS8L3
EPX
ERAL1
ERBB2
ERBB3
ERBB4
ERCC1
ERCC2
ERCC3
ERCC4
ERCC5
ERCC6
ERCC6L2
ERCC8
ERF
ERG
ERGIC1
ERI1
ERLIN1
ERLIN2
ERMAP
ERMARD
ESAM
ESCO2
ESPN
ESR1
ESR2
ESRP1
ESRRB
ETFA
ETFB
ETFDH
ETHE1
ETV6
EVC
EVC2
EWSR1
EXOC2
EXOC3L2
EXOC6B
EXOC7
EXOC8
EXOSC1
EXOSC2
EXOSC3
EXOSC5
EXOSC8
EXOSC9
EXPH5
EXT1
EXT2
EXTL3
EYA1
EYA4
EYS
EZH2
F10
F11
F12
F13A1
F13B
F2
F5
F7
F8
F9
FA2H
FAAP100
FADD
FAH
FAM111A
FAM111B
FAM149B1
FAM161A
FAM177A1
FAM20A
FAM20C
FAM50A
FAN1
FANCA
FANCB
FANCC
FANCD2
FANCE
FANCF
FANCG
FANCI
FANCL
FANCM
FAR1
FARS2
FARSA
FARSB
FAS
FASLG
FASTKD2
FASTKD5
FAT2
FAT4
FBLN5
FBN1
FBN2
FBP1
FBP2
FBXL3
FBXL4
FBXO11
FBXO22
FBXO28
FBXO31
FBXO38
FBXO43
FBXO7
FBXW11
FBXW7
FCGR3A
FCHO1
FCN3
FCSK
FDFT1
FDPS
FDX2
FDXR
FECH
FEM1B
FERMT1
FERMT3
FERRY3
FEZF1
FGA
FGB
FGD1
FGD4
FGF10
FGF12
FGF13
FGF14
FGF16
FGF17
FGF20
FGF23
FGF3
FGF4
FGF5
FGF8
FGF9
FGFR1
FGFR2
FGFR3
FGG
FH
FHL1
FHOD3
FIBP
FICD
FIG4
FIGLA
FILIP1
FITM2
FKBP10
FKBP14
FKBP6
FKRP
FKTN
FLAD1
FLCN
FLG
FLG2
FLI1
FLII
FLNA
FLNB
FLNC
FLRT3
FLT3
FLT3LG
FLT4
FLVCR1
FLVCR2
FMN2
FMO3
FMR1
FN1
FNIP1
FOCAD
FOLR1
FOSL2
FOXC1
FOXC2
FOXE1
FOXE3
FOXF1
FOXG1
FOXI1
FOXI3
FOXJ1
FOXL1
FOXL2
FOXN1
FOXO1
FOXP1
FOXP2
FOXP3
FOXRED1
FRA10AC1
FRAS1
FREM1
FREM2
FRMD4A
FRMD5
FRMD7
FRMPD4
FRRS1L
FRYL
FSCN2
FSHB
FSHR
FSIP2
FTCD
FTH1
FTL
FTO
FTSJ1
FUCA1
FUS
FUT1
FUT2
FUT3
FUT6
FUT8
FXN
FXR1
FXYD2
FYB1
FYCO1
FZD2
FZD4
FZD5
FZD6
FZR1
G6PC1
G6PC3
G6PD
GAA
GAB1
GABBR1
GABBR2
GABRA1
GABRA2
GABRA3
GABRA5
GABRB1
GABRB2
GABRB3
GABRG2
GAD1
GAL
GALC
GALE
GALK1
GALM
GALNS
GALNT2
GALNT3
GALT
GAMT
GAN
GANAB
GARS1
GAS2
GAS2L2
GATA1
GATA2
GATA3
GATA4
GATA5
GATA6
GATAD1
GATAD2B
GATB
GATC
GATM
GBA1
GBA2
GBE1
GBF1
GCDH
GCGR
GCH1
GCK
GCLC
GCM2
GCNA
GCNT2
GCSH
GDAP1
GDAP2
GDF1
GDF11
GDF2
GDF3
GDF5
GDF6
GDF9
GDI1
GEMIN4
GEMIN5
GET3
GET4
GFAP
GFER
GFI1
GFI1B
GFM1
GFM2
GFPT1
GFRA1
GGCX
GGN
GGPS1
GGT1
GH1
GHR
GHRHR
GHSR
GIMAP5
GINS1
GINS3
GIPC1
GIPC3
GJA1
GJA3
GJA5
GJA8
GJB1
GJB2
GJB3
GJB4
GJB6
GJC2
GK
GLA
GLB1
GLDC
GLDN
GLE1
GLI1
GLI2
GLI3
GLIS2
GLIS3
GLMN
GLRA1
GLRA2
GLRB
GLRX5
GLS
GLUD1
GLUL
GLYCTK
GM2A
GMNN
GMPPA
GMPPB
GNA11
GNAI1
GNAI2
GNAI3
GNAL
GNAO1
GNAQ
GNAS
GNAS-AS1
GNAT1
GNAT2
GNB1
GNB2
GNB3
GNB4
GNB5
GNE
GNMT
GNPAT
GNPNAT1
GNPTAB
GNPTG
GNRH1
GNRHR
GNS
GOLGA2
GON4L
GON7
GORAB
GOSR2
GOT2
GP1BA
GP1BB
GP6
GP9
GPAA1
GPC3
GPC4
GPC6
GPD1
GPD1L
GPHN
GPI
GPIHBP1
GPNMB
GPR101
GPR143
GPR156
GPR179
GPR68
GPR88
GPRASP2
GPRC5B
GPSM2
GPT2
GPX4
GRAP
GREB1L
GREM2
GRHL2
GRHL3
GRHPR
GRIA1
GRIA2
GRIA3
GRIA4
GRID2
GRIK2
GRIN1
GRIN2A
GRIN2B
GRIN2D
GRIP1
GRK1
GRM1
GRM6
GRM7
GRN
GRWD1
GRXCR1
GRXCR2
GSC
GSDME
GSN
GSR
GSS
GSTZ1
GSX2
GTF2E2
GTF2H4
GTF2H5
GTF3C3
GTPBP1
GTPBP2
GTPBP3
GUCA1A
GUCA1B
GUCY1A1
GUCY2C
GUCY2D
GUF1
GUK1
GUSB
GYG1
GYPA
GYPB
GYPC
GYS1
GYS2
GZF1
H1-4
H3-3A
H3-3B
H4C11
H4C3
H4C5
H4C9
H6PD
HAAO
HACD1
HACE1
HADH
HADHA
HADHB
HAL
HAMP
HARS1
HARS2
HAVCR2
HAX1
HBA1
HBA2
HBB
HBG2
HCCS
HCFC1
HCK
HCN1
HCN2
HCN4
HCRT
HDAC4
HDAC6
HDAC8
HDAC9
HEATR3
HECTD4
HECW2
HELLS
HEPACAM
HEPHL1
HERC1
HERC2
HES7
HESX1
HEXA
HEXB
HFE
HFM1
HGD
HGF
HGSNAT
HHAT
HIBCH
HID1
HIKESHI
HINT1
HIVEP2
HJV
HK1
HKDC1
HLCS
HMBS
HMGA2
HMGB3
HMGCL
HMGCR
HMGCS1
HMGCS2
HMOX1
HMX1
HNF1A
HNF1B
HNF4A
HNMT
HNRNPA1
HNRNPA2B1
HNRNPC
HNRNPDL
HNRNPH1
HNRNPH2
HNRNPK
HNRNPR
HNRNPU
HOGA1
HOMER2
HOXA1
HOXA11
HOXA13
HOXA2
HOXB1
HOXC13
HOXD10
HOXD13
HP
HPCA
HPD
HPDL
HPGD
HPRT1
HPS1
HPS3
HPS4
HPS5
HPS6
HPSE2
HR
HRAS
HRG
HROB
HRURF
HS2ST1
HS3ST6
HS6ST2
HSCB
HSD11B1
HSD11B2
HSD17B10
HSD17B3
HSD17B4
HSD3B2
HSD3B7
HSF2BP
HSF4
HSPA9
HSPB1
HSPB3
HSPB8
HSPD1
HSPG2
HTR1A
HTRA1
HTRA2
HTT
HUWE1
HYAL1
HYAL2
HYCC1
HYDIN
HYLS1
HYOU1
IARS1
IARS2
IBA57
ICAM4
ICOS
ICOSLG
IDH2
IDH3A
IDH3B
IDH3G
IDS
IDUA
IER3IP1
IFIH1
IFITM5
IFNAR1
IFNAR2
IFNG
IFNGR1
IFNGR2
IFT122
IFT140
IFT172
IFT27
IFT43
IFT52
IFT54
IFT56
IFT57
IFT74
IFT80
IFT81
IGBP1
IGF1
IGF1R
IGF2
IGF2R
IGFALS
IGFBP7
IGHM
IGHMBP2
IGKC
IGLL1
IGSF1
IGSF3
IHH
IKBKB
IKBKG
IKZF1
IKZF2
IKZF3
IKZF5
IL10RA
IL10RB
IL11RA
IL12B
IL12RB1
IL17F
IL17RA
IL17RC
IL17RD
IL1R1
IL1RAPL1
IL1RN
IL21
IL21R
IL27RA
IL2RA
IL2RB
IL2RG
IL31RA
IL36RN
IL37
IL6R
IL6ST
IL7
IL7R
ILDR1
IMPA1
IMPDH1
IMPG1
IMPG2
INF2
ING1
INPP4A
INPP5E
INPP5K
INPPL1
INS
INSL3
INSR
INTS1
INTS11
INTS8
INTU
INVS
IPO8
IQCB1
IQCE
IQCN
IQSEC1
IQSEC2
IRAK4
IREB2
IRF1
IRF2BP2
IRF2BPL
IRF4
IRF6
IRF7
IRF8
IRF9
IRS4
IRX5
ISCA1
ISCA2
ISCU
ISG15
ITCH
ITGA2
ITGA2B
ITGA3
ITGA6
ITGA7
ITGA8
ITGAV
ITGB2
ITGB3
ITGB4
ITGB6
ITK
ITM2B
ITPA
ITPR1
ITPR2
ITPR3
IVD
IVNS1ABP
IYD
JAG1
JAG2
JAGN1
JAK1
JAK2
JAK3
JAM2
JAM3
JARID2
JKAMP
JPH1
JPH2
JPH3
JUP
KANK1
KANK2
KANSL1
KARS1
KASH5
KAT5
KAT6A
KAT6B
KAT8
KATNB1
KATNIP
KBTBD13
KCNA1
KCNA2
KCNA4
KCNA5
KCNB1
KCNC1
KCNC2
KCNC3
KCND3
KCNE1
KCNE2
KCNE3
KCNH1
KCNH2
KCNH5
KCNJ1
KCNJ10
KCNJ11
KCNJ13
KCNJ16
KCNJ2
KCNJ5
KCNJ6
KCNK3
KCNK4
KCNK9
KCNMA1
KCNN2
KCNN3
KCNN4
KCNQ1
KCNQ1OT1
KCNQ2
KCNQ3
KCNQ4
KCNQ5
KCNT1
KCNT2
KCNU1
KCNV2
KCTD1
KCTD17
KCTD7
KDELR2
KDF1
KDM1A
KDM2B
KDM3B
KDM4B
KDM5A
KDM5B
KDM5C
KDM6A
KDM6B
KDR
KDSR
KEL
KERA
KHDC3L
KHK
KIAA0586
KIAA0753
KIAA0825
KIAA1549
KICS2
KIDINS220
KIF11
KIF12
KIF14
KIF15
KIF1A
KIF1B
KIF1C
KIF20A
KIF21A
KIF22
KIF23
KIF26A
KIF2A
KIF3B
KIF4A
KIF5A
KIF5C
KIF7
KIFBP
KIRREL1
KISS1
KISS1R
KIT
KITLG
KIZ
KL
KLC2
KLC4
KLF1
KLF11
KLF6
KLHL10
KLHL15
KLHL20
KLHL24
KLHL3
KLHL40
KLHL41
KLHL7
KLK1
KLK11
KLK4
KLKB1
KLLN
KMT2A
KMT2B
KMT2C
KMT2D
KMT2E
KMT5B
KNG1
KNL1
KNSTRN
KPNA3
KPNA7
KPTN
KRAS
KREMEN1
KRIT1
KRT1
KRT10
KRT12
KRT13
KRT14
KRT16
KRT17
KRT18
KRT2
KRT25
KRT3
KRT4
KRT5
KRT6A
KRT6B
KRT6C
KRT71
KRT74
KRT81
KRT83
KRT85
KRT86
KRT9
KY
KYNU
L1CAM
L2HGDH
LACC1
LAGE3
LAMA1
LAMA2
LAMA3
LAMA4
LAMA5
LAMB1
LAMB2
LAMB3
LAMC2
LAMC3
LAMP2
LAMTOR2
LARGE1
LARP7
LARS1
LARS2
LAS1L
LAT
LBR
LBX1
LCA5
LCAT
LCK
LCP2
LCT
LDB3
LDHA
LDHB
LDHD
LDLR
LDLRAP1
LEF1
LEMD2
LEMD3
LEP
LEPR
LETM1
LFNG
LGI1
LGI3
LGI4
LGR4
LHB
LHCGR
LHFPL5
LHX3
LHX4
LIAS
LIFR
LIG1
LIG3
LIG4
LIM2
LIMS2
LINGO1
LINS1
LIPA
LIPC
LIPE
LIPH
LIPN
LIPT1
LIPT2
LITAF
LMAN1
LMAN2L
LMBR1
LMBRD1
LMBRD2
LMF1
LMNA
LMNB1
LMNB2
LMOD1
LMOD2
LMOD3
LMX1A
LMX1B
LNPK
LONP1
LORICRIN
LOX
LOXHD1
LOXL3
LPAR6
LPIN1
LPIN2
LPL
LPP
LRAT
LRBA
LRIF1
LRIG2
LRIT3
LRMDA
LRP1
LRP12
LRP2
LRP4
LRP5
LRP6
LRPAP1
LRPPRC
LRRC23
LRRC32
LRRC56
LRRC7
LRRC8A
LRRC8C
LRRK1
LRSAM1
LRTOMT
LSM1
LSM11
LSM7
LSS
LTBP1
LTBP2
LTBP3
LTBP4
LTV1
LYN
LYRM4
LYRM7
LYSET
LYST
LYZ
LZTFL1
LZTR1
LZTS1
M1AP
MAB21L1
MAB21L2
MACF1
MAD1L1
MAD2L2
MADD
MAF
MAFA
MAFB
MAG
MAGED2
MAGEL2
MAGI2
MAGT1
MAK
MAL
MALT1
MAMLD1
MAN1B1
MAN2B1
MAN2B2
MAN2C1
MANBA
MANF
MAOA
MAP1B
MAP2K1
MAP2K2
MAP3K1
MAP3K14
MAP3K20
MAP3K3
MAP3K7
MAP3K8
MAPK1
MAPK8IP3
MAPKAPK3
MAPKAPK5
MAPKBP1
MAPRE2
MAPT
MARCHF6
MARK2
MARK3
MARS1
MARS2
MARVELD2
MASP1
MASP2
MAST1
MAST3
MAT1A
MATN3
MATR3
MAX
MB
